"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 90 + 64 = 154",""
"passed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","1","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 46 + 83 = 129",""
"passed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","6","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 44 + 24 = 68",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","15","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 4 + 75 = 80",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","14","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 39 + 68 = 108",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","5","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 68 + 6 = 75",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 33 + 79 = 113",""
"passed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 48 + 42 = 90",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","9","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 58 + 90 = 149",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","13","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 79 + 18 = 98",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 91 + 95 = 187",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","5","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 49 + 0 = 50",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","8","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 34 + 91 = 126",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 43 + 22 = 66",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","19","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 72 + 27 = 100",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 28 + 53 = 82",""
